Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 3 default",meta:specialk9_internal_id,meta:specialk9_source_url,meta:specialk9_seo_title,meta:specialk9_seo_description
variable,"LH LS",,"Almohadón de mordida",1,0,visible,,"<details><summary>Descripción</summary><section><div>Esta almohadilla de cuero para morder está hecha de cuero y duradero con asas resistentes y fuertes.  La almohadilla para morder es ideal para cualquier sesión de entrenamiento o como recompensa rápida. Rendimiento resistente, ya sea para el entrenamiento de mordida o simplemente para una sesión de juego. Con el uso adecuado, obtendrá horas y horas de uso de esta almohadilla para morder.</div><div>NO deje a su perro sin supervisión para que muerda la almohadilla para morder. La almohadilla para morder de cuero NO es un juguete para masticar. Esta es una herramienta de entrenamiento.</div><div>Los tirones no tienen garantía bajo ninguna circunstancia.</div><div></div></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. Cortes y mordeduras no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><p>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</p><p><br></p></section></details>",taxable,,,,,,0,0.64,0.0,0.0,0.0,1,,,,"Formadores, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4596528639.png, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4596528649.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4596532049.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4596545115.jpg",,,,,,,,,,"Julius K9",Tipo,"Soft, Hard",1,0,,,,,,,,,,,,703265179,https://www.specialk9.com/Almohadon-de-mordida-p703265179,"Almohadón de mordida","Descripción Esta almohadilla de cuero para morder está hecha de cuero y duradero con asas resistentes y fuertes. La almohadilla para morder es ideal para cualquier sesión de entrenamiento o como recompensa rápida. Rendimiento resistente, ya sea para el entrenamiento de mordida o simplemente para una…"
variation,144LH,,"Almohadón de mordida - Hard",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,32700.00,,,,,,,"LH LS",,,,,,,,Tipo,Hard,1,0,,,,,,,,,,,,703265179,,,
variation,LPILS,,"Almohadón de mordida - Soft",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,32700.00,,,,,,,"LH LS",,,,,,,,Tipo,Soft,1,0,,,,,,,,,,,,703265179,,,
variable,TSP-TJP,,"Almohadón de Mordida",1,0,visible,,"<details><summary>Descripción</summary><section><p>La almohada con funda sintética tiene tres asas. Genial para desarrollar la mordida de cachorros. Sirve como puente entre mordedor y un traje de mordida.</p></section></details><details><summary>Medidas</summary><section><p><strong>Nivel 1:</strong> 9"" de largo x 7"" de ancho x 1"" de espesor<br></p><p><strong>Nivel 2:</strong> 9"" de largo x 7"" de ancho x 2"" de espesor<br></p></section></details><details><summary>Garantía </summary><section><div>Garantía por defectos de fábrica. Cortes y mordeduras no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><p>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</p><p><br></p></section></details>",taxable,,,,,,0,0.0,0.0,0.0,0.0,1,,,,"Formadores, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4541089345.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4541090559.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4541086840.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4541090554.jpg",,,,,"TL,TJ12,TS12,T08,TJ06 TS06",,,,,"Elite K9",Nivel,"1, 2",1,0,,Material,"Yute, Lino francés",1,0,,,,,,,695721389,https://www.specialk9.com/Almohadon-de-Mordida-p695721389,"Almohadón de Mordida","Descripción La almohada con funda sintética tiene tres asas. Genial para desarrollar la mordida de cachorros. Sirve como puente entre mordedor y un traje de mordida. Medidas Nivel 1: 9"" de largo x 7"" de ancho x 1"" de espesor Nivel 2: 9"" de largo x 7"" de ancho x 2"" de espesor Garantía Garantía por…"
variation,TSP1,,"Almohadón de Mordida - 1 / Lino francés",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,39500.00,,,,,,,TSP-TJP,,,,,,,,Nivel,1,1,0,,Material,"Lino francés",1,0,,,,,,,695721389,,,
variation,TJP9,,"Almohadón de Mordida - 2 / Yute",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,41400.00,,,,,,,TSP-TJP,,,,,,,,Nivel,2,1,0,,Material,Yute,1,0,,,,,,,695721389,,,
variation,TSP9,,"Almohadón de Mordida - 2 / Lino francés",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,41400.00,,,,,,,TSP-TJP,,,,,,,,Nivel,2,1,0,,Material,"Lino francés",1,0,,,,,,,695721389,,,
variation,TJP1,,"Almohadón de Mordida - 1 / Yute",1,,visible,,,taxable,parent,1,2,1,1,0,,,,,,,,39500.00,,,,,,,TSP-TJP,,,,,,,,Nivel,1,1,0,,Material,Yute,1,0,,,,,,,695721389,,,
variable,TLP-TSP-TJP,,"Almohadón de Mordida",1,0,visible,,"<details><summary>Descripción</summary><section><p>La almohada cubierta de yute, cuero o lino francés de tiene tres asas. Excelente para desarrollar la mordida en su perro.</p><p>Tamaño: 8"" de alto x 14"" de ancho</p><p>Fabricado con costuras de alta calidad.</p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. Cortes y mordeduras no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><p>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</p><p><br></p></section></details>",taxable,,,,,,0,0.0,0.0,0.0,0.0,1,,,,"Formadores, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4541104465.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4541104449.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4541107786.jpg",,,,,"TSP-TJP,LH LS",,,,,"Elite K9",Material,"Cuero, Yute, Lino Francés",1,0,,,,,,,,,,,,695723437,https://www.specialk9.com/Almohadon-de-Mordida-p695723437,"Almohadón de Mordida","Descripción La almohada cubierta de yute, cuero o lino francés de tiene tres asas. Excelente para desarrollar la mordida en su perro. Tamaño: 8"" de alto x 14"" de ancho Fabricado con costuras de alta calidad. Garantía Garantía por defectos de fábrica. Cortes y mordeduras no serán contemplados dentro…"
variation,TSP,,"Almohadón de Mordida - Lino Francés",1,,visible,,,taxable,parent,1,2,1,1,0,,,,,,,,49600.00,,,,,,,TLP-TSP-TJP,,,,,,,,Material,"Lino Francés",1,0,,,,,,,,,,,,695723437,,,
variation,TJP,,"Almohadón de Mordida - Yute",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,49600.00,,,,,,,TLP-TSP-TJP,,,,,,,,Material,Yute,1,0,,,,,,,,,,,,695723437,,,
variation,TLP,,"Almohadón de Mordida - Cuero",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,51500.00,,,,,,,TLP-TSP-TJP,,,,,,,,Material,Cuero,1,0,,,,,,,,,,,,695723437,,,
simple,PBB10,PBB10,"Almohadón de Mordida",1,0,visible,,"<details><summary>Descripción</summary><section><p>Fabricada con lino francés resistente y muy duradero, esta almohadilla de mordida es un excelente dispositivo de entrenamiento para desarrollar la técnica de mordida en perros jóvenes y cachorros.</p></section></details><details><summary>Medidas</summary><section><p>13.5"" de largo<br>7"" de ancho <br>2"" de espesor</p></section></details><details><summary>Garantía </summary><section><div>Garantía por defectos de fábrica. Cortes y mordeduras no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><p>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</p><p><br></p></section></details>",taxable,,1,2,1,0,0,0.3,0.0,0.0,0.0,1,,,23000.00,"Formadores, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/753234150/4936886501.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/753234150/4936876941.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/753234150/4936876946.jpg",,,,,"TL,TJ12,TS12,T08,TJ06 TS06",,,,,"For Dog Trainers",,,,,,,,,,,,,,,,753234150,https://www.specialk9.com/Almohadon-de-Mordida-p753234150,"Almohadón de Mordida","Descripción Fabricada con lino francés resistente y muy duradero, esta almohadilla de mordida es un excelente dispositivo de entrenamiento para desarrollar la técnica de mordida en perros jóvenes y cachorros. Medidas 13.5"" de largo 7"" de ancho 2"" de espesor Garantía Garantía por defectos de fábrica.…"
simple,A01,686644131050,"Anteojos para perro",1,0,visible,,"<details><summary>Descripción</summary><section><p>Protección ocular contra el viento, la arena y el sol.</p><p>100% protección UV, lentes antiniebla / antivaho.</p><p>Se adapta a la mayoría de los perros que pesan entre 50 y 95 libras.</p><p>Color negro.</p><p>Marca Doggles ILS</p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. Cortes y mordeduras no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><div>Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las medidas necesarias.</div><div>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</div></section></details><p><br></p>",taxable,,1,1,1,0,0,0.115,0.0,0.0,0.0,1,,,23000.00,"Seguridad y Protección Canina, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4553968264.png, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4597645580.png",,,,,,,,,,Doggles,,,,,,,,,,,,,,,,697729763,https://www.specialk9.com/Anteojos-para-perro-p697729763,"Anteojos para perro","Descripción Protección ocular contra el viento, la arena y el sol. 100% protección UV, lentes antiniebla / antivaho. Se adapta a la mayoría de los perros que pesan entre 50 y 95 libras. Color negro. Marca Doggles ILS Garantía Garantía por defectos de fábrica. Cortes y mordeduras no serán…"
variable,"A170 A175",,"Anteojos tácticos",1,0,visible,,"<details><summary>Descripción</summary><section><p>Gafas tácticas para perros Elite K-9<br>Estas gafas tácticas permiten que su perro mantenga un mayor nivel de protección contra daños imprevistos a los ojos causados por la arena, el viento y el sol y cuando esté en el campo de tiro o haciendo entrenamiento de fuerza con balas de simunición o paintball.</p><p>Las gafas tienen un sistema de correa ajustable patentado que se adapta a la cabeza y el hocico de la mayoría de los caninos, lo que permite un movimiento superior en cualquier situación.<br>Además, viene con tres lentes intercambiables;</p><ul><li>(1) lente transparente,</li><li>(1) ahumada</li><li>(1) [amarilla] para condiciones de poca luz para operaciones nocturnas.</li></ul><p>Estas lentes se pueden cambiar con rapidez y facilidad. Las lentes están hechas de material de alto impacto de grado balístico de 2,0 mm con un revestimiento resistente a los arañazos en el exterior de las lentes. Las lentes proporcionan una protección del 400% contra los rayos UVA/UVB. También se incluye una bolsa de almacenamiento suave que también se puede usar para limpiar las lentes de suciedad y manchas.</p><p>Las gafas tácticas Elite K-9 cumplen y/o superan los estándares militares MIL-PRF-32432, ANSI Z87.1 2015 y EN166 CE y ofrecen el más alto nivel de protección sobre todas las demás gafas para perros del mercado.</p><p>TAMAÑO: LG | Las gafas se adaptarán a la mayoría de los caninos grandes que pesen entre 30 y 100 libras.</p><p>Las gafas tácticas para perros Elite K-9 vienen en dos colores: Coyote y Negro</p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. Cortes, golpes y mordeduras no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><div>Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las medidas necesarias.</div><div>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</div></section></details>",taxable,,,,,,0,0.26,0.0,0.0,0.0,1,,,,"Seguridad y Protección Canina, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4597600951.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4541236048.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4597600946.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4541236043.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4597601322.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4597600696.jpg",,,,,,,,,,"Elite K9",Color,"Coyote, Negro",1,0,,,,,,,,,,,,695799564,https://www.specialk9.com/Anteojos-tacticos-p695799564,"Anteojos tácticos","Descripción Gafas tácticas para perros Elite K-9 Estas gafas tácticas permiten que su perro mantenga un mayor nivel de protección contra daños imprevistos a los ojos causados por la arena, el viento y el sol y cuando esté en el campo de tiro o haciendo entrenamiento de fuerza con balas de simunición…"
variation,A170,,"Anteojos tácticos - Negro",1,,visible,,,taxable,parent,1,2,0,1,0,,,,,,,,52000.00,,,,,,,"A170 A175",,,,,,,,Color,Negro,1,0,,,,,,,,,,,,695799564,,,
variation,A175,,"Anteojos tácticos - Coyote",1,,visible,,,taxable,parent,1,0,0,1,0,,,,,,,,52000.00,,,,,,,"A170 A175",,,,,,,,Color,Coyote,1,0,,,,,,,,,,,,695799564,,,
